Entity,Year,Records,Organization type,Method,,,,,,,,,,,,
US Office of Personnel Management,2015,21500000,government,hacked,,,,,,,,,,,,
VTech,2015,5000000,retail,hacked,,,,,,,,,,,,
Walmart,2015,1300000,retail,hacked,,,,,,,,,,,,
Xat.com,2015,6054459,web,social engineering,,,,,,,,,,,,
21st Century Oncology,2016,2200000,healthcare,hacked,,,,,,,,,,,,
Central Coast Credit Union,2016,60000,financial,hacked,,,,,,,,,,,,
Cox Communications,2016,40000,telecoms,hacked,,,,,,,,,,,,
Democratic National Committee,2016,19252,political,unknown,,,,,,,,,,,,
Friend Finder Networks,2016,412214295,web,poor security / hacked,,,,,,,,,,,,
Funimation,2016,2500000,web,hacked,,,,,,,,,,,,
Inuvik hospital,2016,6700,healthcare,inside job,,,,,,,,,,,,
KM.RU,2016,1500000,web,hacked,,,,,,,,,,,,
Nippon Television,2016,430000,media,hacked,,,,,,,,,,,,
Nival Networks,2016,1500000,gaming,hacked,,,,,,,,,,,,
Philippines Commission on Elections,2016,55000000,government,hacked,,,,,,,,,,,,
Taobao,2016,20000000,retail,hacked,,,,,,,,,,,,
TaxSlayer.com,2016,8800,web,hacked,,,,,,,,,,,,
"University of California, Berkeley",2016,80000,academic,hacked,,,,,,,,,,,,
University of Central Florida,2016,63000,academic,hacked,,,,,,,,,,,,
US Department of Homeland Security,2016,30000,government,poor security,,,,,,,,,,,,
Verizon Communications,2016,1500000,telecoms,hacked,,,,,,,,,,,,
Weebly,2016,43430316,web,hacked,,,,,,,,,,,,
Advocate Medical Group,2017,4000000,healthcare,lost / stolen media,,,,,,,,,,,,
Bell Canada,2017,1900000,telecoms,poor security,,,,,,,,,,,,
Equifax,2017,163119000,"financial, credit reporting",poor security,,,,,,,,,,,,
Grozio Chirurgija,2017,25000,healthcare,hacked,,,,,,,,,,,,
Taringa!,2017,28722877,web,hacked,,,,,,,,,,,,
Uber,2017,57000000,transport,hacked,,,,,,,,,,,,
2018 British Airways cyberattack,2018,500000,transport,hacked,,,,,,,,,,,,
AerServ (subsidiary of InMobi),2018,75000,advertising,hacked,,,,,,,,,,,,
Air Canada,2018,20000,transport,hacked,,,,,,,,,,,,
Bell Canada,2018,100000,telecoms,hacked,,,,,,,,,,,,
Blank Media Games,2018,7633234,gaming,hacked,,,,,,,,,,,,
BMO and Simplii,2018,90000,banking,poor security,,,,,,,,,,,,
Cathay Pacific Airways,2018,9400000,transport,hacked,,,,,,,,,,,,
Centers for Medicare & Medicaid Services,2018,75000,healthcare,hacked,,,,,,,,,,,,
Dubsmash,2018,162000000,messaging app,hacked,,,,,,,,,,,,
Exactis,2018,340000000,data broker,poor security,,,,,,,,,,,,
Facebook,2018,50000000,social media,poor security,,,,,,,,,,,,
Google Plus,2018,500000,social media,poor security,,,,,,,,,,,,
HauteLook,2018,28517244,retail,hacked,,,,,,,,,,,,
Marriott International,2018,500000000,hotel,hacked,,,,,,,,,,,,
MyHeritage,2018,92283889,genealogy,unknown,,,,,,,,,,,,
Orbitz,2018,880000,web,hacked,,,,,,,,,,,,
Popsugar,2018,123857,fashion,hacked,,,,,,,,,,,,
Quora,2018,100000000,Question & Answer,hacked,,,,,,,,,,,,
SingHealth,2018,1500000,"government, database",hacked,,,,,,,,,,,,
Ticketfly (subsidiary of Eventbrite),2018,26151608,ticket distribution,hacked,,,,,,,,,,,,
Under Armour,2018,150000000,Consumer Goods,hacked,,,,,,,,,,,,
United States Postal Service,2018,60000000,government,poor security,,,,,,,,,,,,
Adobe Inc.,2019,7500000,tech,poor security,,,,,,,,,,,,
Airtel,2019,320000000,telecoms,poor security,,,,,,,,,,,,
Canva,2019,140000000,web,hacked,,,,,,,,,,,,
Capital One,2019,106000000,financial,unsecured S3 bucket,,,,,,,,,,,,
Desjardins,2019,9700000,financial,inside job,,,,,,,,,,,,
DoorDash,2019,4900000,web,hacked,,,,,,,,,,,,
ElasticSearch,2019,108000000,tech,poor security,,,,,,,,,,,,
Facebook,2019,540000000,social media,poor security,,,,,,,,,,,,
Facebook,2019,1500000,social media,accidentally uploaded,,,,,,,,,,,,
Facebook,2019,267000000,social media,poor security,,,,,,,,,,,,
Fast Retailing,2019,461091,retail,hacked,,,,,,,,,,,,
First American Corporation,2019,885000000,financial service company,poor security,,,,,,,,,,,,
Health Sciences Authority (Singapore),2019,808000,healthcare,poor security,,,,,,,,,,,,
Justdial,2019,100000000,local search,unprotected api,,,,,,,,,,,,
LifeLabs,2019,15000000,healthcare,hacked,,,,,,,,,,,,
Microsoft,2019,250000000,tech,data exposed by misconfiguration,,,,,,,,,,,,
Ministry of Health (Singapore),2019,14200,healthcare,poor security/inside job,,,,,,,,,,,,
Mobile TeleSystems (MTS),2019,100000000,telecoms,misconfiguration/poor security,,,,,,,,,,,,
MongoDB,2019,202000000,tech,poor security,,,,,,,,,,,,
MongoDB,2019,275000000,tech,poor security,,,,,,,,,,,,
Quest Diagnostics,2019,11900000,Clinical Laboratory,poor security,,,,,,,,,,,,
StockX,2019,6800000,retail,hacked,,,,,,,,,,,,
Truecaller,2019,299055000,Telephone directory,unknown,,,,,,,,,,,,
Universiti Teknologi MARA,2019,1164540,academic,hacked,,,,,,,,,,,,
Westpac,2019,98000,financial,hacked,,,,,,,,,,,,
Zynga,2019,173000000,social media,hacked,,,,,,,,,,,,
500px,2020,14870304,social media,hacked,,,,,,,,,,,,
Accendo Insurance Co.,2020,175350,healthcare,poor security,,,,,,,,,,,,
Animal Jam,2020,46000000,gaming,hacked,,,,,,,,,,,,
Capcom,2020,350000,gaming,hacked,,,,,,,,,,,,
CheckPeople,2020,56000000,background check,unknown,,,,,,,,,,,,
Instagram,2020,200000000,social media,poor security,,,,,,,,,,,,
Marriott International,2020,5200000,hotel,poor security/inside job,,,,,,,,,,,,
National Health Information Center (NCZI) of Slovakia,2020,391250,healthcare,poor security,,,,,,,,,,,,
Nintendo (Nintendo Account),2020,160000,gaming,hacked,,,,,,,,,,,,
Now:Pensions,2020,30000,financial,rogue contractor,,,,,,,,,,,,
PayPay,2020,20076016,QR code payment,"improper setting, hacked",,,,,,,,,,,,
Rakuten,2020,1381735,web,"improper setting, hacked",,,,,,,,,,,,
SlickWraps,2020,377428,phone accessories,poor security,,,,,,,,,,,,
Tetrad,2020,120000000,market analysis,poor security,,,,,,,,,,,,
TikTok,2020,42000000,social media,poor security,,,,,,,,,,,,
Unknown,2020,201000000,personal and demographic data about residents and their properties of US,Poor security,,,,,,,,,,,,
Unknown agency(believed to be tied to United States Census Bureau),2020,200000000,financial,accidentally published,,,,,,,,,,,,
Vastaamo,2020,130000,healthcare,hacked,,,,,,,,,,,,
View Media,2020,38000000,online marketing,publicly accessible Amazon Web Services (AWS) server,,,,,,,,,,,,
Virgin Media,2020,900000,mobile carrier,accidentally exposed,,,,,,,,,,,,
Wattpad,2020,270000000,web,hacked,,,,,,,,,,,,
Wawa (company),2020,30000000,retail,hacked,,,,,,,,,,,,
YouTube,2020,4000000,social media,poor security,,,,,,,,,,,,
Ancestry.com,2021,300000,web,poor security,,,,,,,,,,,,
"Ankle & Foot Center of Tampa Bay, Inc.",2021,156000,healthcare,hacked,,,,,,,,,,,,
Apple,2021,275000,tech,hacked,,,,,,,,,,,,
Apple Health Medicaid,2021,91000,healthcare,poor security,,,,,,,,,,,,
"Apple, Inc./BlueToad",2021,12367232,"tech, retail",accidentally published,,,,,,,,,,,,
CyberServe,2021,1107034,hosting provider,hacked,,,,,,,,,,,,
Dedalus,2021,500000,healthcare,poor security,,,,,,,,,,,,
"NEC Networks, LLC",2021,1600000,healthcare,hacked,,,,,,,,,,,,
T-Mobile,2021,45000000,telecoms,hacked,,,,,,,,,,,,
50 companies and government institutions,2022,6400000,various,poor security,,,,,,,,,,,,
Iberdrola,2022,1300000,energy,poor security,,,,,,,,,,,,
IKEA,2022,95000,retail,accidentally published,,,,,,,,,,,,
International Committee of the Red Cross,2022,515000,humanitarian,unknown,,,,,,,,,,,,
Morinaga Confectionery,2022,1648922,online shopping,ransomware hacked,,,,,,,,,,,,
